年級,科目,教授,年份,類別,名稱,路徑
大三以上,自動控制,吳炳飛,98學年,期中考,midterm,大三以上選修/自動控制/吳炳飛/2009_Fall(線控一)/9_Mid.pdf
大三以上,自動控制,吳炳飛,98學年,期末考,final,大三以上選修/自動控制/吳炳飛/2009_Fall(線控一)/9_Final.pdf
大三以上,自動控制,吳炳飛,99學年,期中考,midterm,大三以上選修/自動控制/吳炳飛/2010_Fall(線控一)/10_Mid.pdf
大三以上,自動控制,吳炳飛,99學年,期末考,final,大三以上選修/自動控制/吳炳飛/2010_Fall(線控一)/10_Final.pdf
大三以上,自動控制,吳炳飛,104學年,期末考,final,大三以上選修/自動控制/吳炳飛/2015_Fall/2015final.zip
大三以上,自動控制,吳炳飛,105學年,期末考,quiz1,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz1-2016-Fall.pdf
大三以上,自動控制,吳炳飛,105學年,小考,quiz2,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz2-2016-Fall.pdf
大三以上,自動控制,吳炳飛,105學年,小考,quiz3,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz3-2016-Fall.pdf
大三以上,自動控制,吳炳飛,105學年,小考,quiz4,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz4-2016-Fall.pdf
大三以上,自動控制,吳炳飛,105學年,小考,quiz5,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz5-2016-Fall.pdf
大三以上,自動控制,吳炳飛,105學年,小考,quiz6,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz6-2016-Fall.pdf
大三以上,自動控制,吳炳飛,105學年,小考,quiz7,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz7-2016-Fall.pdf
大三以上,自動控制,吳炳飛,105學年,小考,quiz8,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz8-2016-Fall.pdf
大三以上,自動控制,吳炳飛,105學年,小考,quiz9,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz9-2016-Fall.pdf
大三以上,自動控制,吳炳飛,105學年,小考,quiz10,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz10-2016-Fall.pdf
大三以上,自動控制,吳炳飛,105學年,作業,homework1,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-1.pdf
大三以上,自動控制,吳炳飛,105學年,作業,homework2,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-2.pdf
大三以上,自動控制,吳炳飛,105學年,作業,homework3,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-3.pdf
大三以上,自動控制,吳炳飛,105學年,作業,homework4,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-4.pdf
大三以上,自動控制,吳炳飛,105學年,作業,homework5,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-5.pdf
