科目,教授,年份,類別,類型,名稱,路徑
自動控制,吳炳飛,98學年,期中考,pdf,midterm,大三以上選修/自動控制/吳炳飛/2009_Fall(線控一)/9_Mid.pdf
自動控制,吳炳飛,98學年,期末考,pdf,final,大三以上選修/自動控制/吳炳飛/2009_Fall(線控一)/9_Final.pdf
自動控制,吳炳飛,99學年,期中考,pdf,midterm,大三以上選修/自動控制/吳炳飛/2010_Fall(線控一)/10_Mid.pdf
自動控制,吳炳飛,99學年,期末考,pdf,final,大三以上選修/自動控制/吳炳飛/2010_Fall(線控一)/10_Final.pdf
自動控制,吳炳飛,104學年,期末考,zip,final,大三以上選修/自動控制/吳炳飛/2015_Fall/2015final.zip
自動控制,吳炳飛,105學年,期末考,pdf,quiz1,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz1-2016-Fall.pdf
自動控制,吳炳飛,105學年,小考,pdf,quiz2,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz2-2016-Fall.pdf
自動控制,吳炳飛,105學年,小考,pdf,quiz3,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz3-2016-Fall.pdf
自動控制,吳炳飛,105學年,小考,pdf,quiz4,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz4-2016-Fall.pdf
自動控制,吳炳飛,105學年,小考,pdf,quiz5,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz5-2016-Fall.pdf
自動控制,吳炳飛,105學年,小考,pdf,quiz6,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz6-2016-Fall.pdf
自動控制,吳炳飛,105學年,小考,pdf,quiz7,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz7-2016-Fall.pdf
自動控制,吳炳飛,105學年,小考,pdf,quiz8,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz8-2016-Fall.pdf
自動控制,吳炳飛,105學年,小考,pdf,quiz9,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz9-2016-Fall.pdf
自動控制,吳炳飛,105學年,小考,pdf,quiz10,大三以上選修/自動控制/吳炳飛/2016_Fall/Quiz/Quiz10-2016-Fall.pdf
自動控制,吳炳飛,105學年,作業,pdf,homework1,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-1.pdf
自動控制,吳炳飛,105學年,作業,pdf,homework2,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-2.pdf
自動控制,吳炳飛,105學年,作業,pdf,homework3,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-3.pdf
自動控制,吳炳飛,105學年,作業,pdf,homework4,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-4.pdf
自動控制,吳炳飛,105學年,作業,pdf,homework5,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-5.pdf
自動控制,吳炳飛,105學年,作業,pdf,homework6,大三以上選修/自動控制/吳炳飛/2016_Fall/Homework/ACS-2016-Homework-6.pdf
