年級,科目,教授,年份,類別,名稱,路徑
大一,物件導向程式設計,黃世強,108學年,講義,Lab1_Q,大一/物件導向程式設計/黃世強/Lab1_Q.pdf
大一,物件導向程式設計,黃世強,108學年,上機,Lab2,大一/物件導向程式設計/黃世強/Lab2.zip
大一,物件導向程式設計,黃世強,108學年,上機,Lab3,大一/物件導向程式設計/黃世強/Lab3.zip
大一,物件導向程式設計,黃世強,108學年,上機,Lab4,大一/物件導向程式設計/黃世強/Lab4.zip
大一,物件導向程式設計,黃世強,108學年,上機,Lab5,大一/物件導向程式設計/黃世強/Lab5.zip
大一,物件導向程式設計,黃世強,108學年,上機,Lab6,大一/物件導向程式設計/黃世強/Lab6.zip
大一,物件導向程式設計,黃世強,108學年,上機,Lab7,大一/物件導向程式設計/黃世強/Lab7.zip
大一,物件導向程式設計,黃世強,108學年,期中考,midterm1,大一/物件導向程式設計/黃世強/Midterm1.zip
大一,物件導向程式設計,黃世強,108學年,期中考,midterm2,大一/物件導向程式設計/黃世強/Midterm2.zip
大一,物件導向程式設計,黃世強,108學年,期末考,final,大一/物件導向程式設計/黃世強/OOP_FinalProgramExamTest_2020_Student.7z
大一,物件導向程式設計,黃世強,108學年,期末考,final_no_ans,大一/物件導向程式設計/黃世強/OOP_Final_2020_spring_no_ans_student.7z
大一,物件導向程式設計,黃俊達,100學年,期中考,midterm,大一/物件導向程式設計/黃俊達/2011midterm.pdf
大一,物件導向程式設計,黃俊達,100學年,期中考,midterm_ans,大一/物件導向程式設計/黃俊達/2011midterm_Ans.pdf
大一,物件導向程式設計,黃俊達,100學年,期末考,final,大一/物件導向程式設計/黃俊達/2011-final.pdf
大一,物件導向程式設計,黃俊達,102學年,期中考,midterm,大一/物件導向程式設計/黃俊達/OOP_mid_2013_ns.pdf
大一,物件導向程式設計,黃俊達,102學年,期中考,midterm_ans,大一/物件導向程式設計/黃俊達/sol_13midterm.pdf
大一,物件導向程式設計,黃俊達,102學年,期末考,final,大一/物件導向程式設計/黃俊達/2013-Final.pdf
大一,物件導向程式設計,黃俊達,104學年,期末考,final,大一/物件導向程式設計/黃俊達/Final_OOP.pdf
大一,物件導向程式設計,劉建男,109學年,期末考,final,大一/物件導向程式設計/劉建男/109學年/期末考/FinalExam_sol.pdf
大一,物件導向程式設計,劉建男,109學年,期末考,final_ans,大一/物件導向程式設計/劉建男/109學年/期末考/final.pdf
大一,物件導向程式設計,蔡中庸,107學年,作業,homework1,大一/物件導向程式設計/蔡中庸/107學年/作業/Homework1.docx
大一,物件導向程式設計,蔡中庸,107學年,作業,homework2,大一/物件導向程式設計/蔡中庸/107學年/作業/Homework2.docx
大一,物件導向程式設計,蔡中庸,107學年,作業,homework3,大一/物件導向程式設計/蔡中庸/107學年/作業/Homework3.docx
大一,物件導向程式設計,蔡中庸,107學年,作業,homework4,大一/物件導向程式設計/蔡中庸/107學年/作業/Homework4.docx
大一,物件導向程式設計,蔡中庸,107學年,作業,homework5,大一/物件導向程式設計/蔡中庸/107學年/作業/Homework5.docx
大一,物件導向程式設計,蔡中庸,107學年,作業,homework6,大一/物件導向程式設計/蔡中庸/107學年/作業/Homework6.docx
大一,物件導向程式設計,蔡中庸,107學年,作業,homework7,大一/物件導向程式設計/蔡中庸/107學年/作業/Homework7.docx
大一,物件導向程式設計,蔡中庸,107學年,上機,lab1,大一/物件導向程式設計/蔡中庸/107學年/上機/1.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab2,大一/物件導向程式設計/蔡中庸/107學年/上機/2.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab3,大一/物件導向程式設計/蔡中庸/107學年/上機/3.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab4,大一/物件導向程式設計/蔡中庸/107學年/上機/4.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab5,大一/物件導向程式設計/蔡中庸/107學年/上機/5.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab6,大一/物件導向程式設計/蔡中庸/107學年/上機/6.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab7,大一/物件導向程式設計/蔡中庸/107學年/上機/7.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab8,大一/物件導向程式設計/蔡中庸/107學年/上機/8.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab9,大一/物件導向程式設計/蔡中庸/107學年/上機/9.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab10,大一/物件導向程式設計/蔡中庸/107學年/上機/10.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab11,大一/物件導向程式設計/蔡中庸/107學年/上機/11.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab12,大一/物件導向程式設計/蔡中庸/107學年/上機/12.zip
大一,物件導向程式設計,蔡中庸,107學年,上機,lab13,大一/物件導向程式設計/蔡中庸/107學年/上機/13.zip
大一,物理(一),籔下篤史,105學年,期中考,midterm2,大一/物理(一)/籔下篤史/105學年/midterm2.zip
大一,物理(一),籔下篤史,105學年,期末考,final,大一/物理(一)/籔下篤史/105學年/final.zip
大一,物理(一),籔下篤史,107學年,期中考,midterm1,大一/物理(一)/籔下篤史/107學年/midterm1.zip
大一,物理(一),籔下篤史,107學年,期中考,midterm2,大一/物理(一)/籔下篤史/107學年/midterm2.zip
大一,物理(一),籔下篤史,107學年,期末考,final,大一/物理(一)/籔下篤史/107學年/final.zip
大一,物理(一),蘇蓉蓉,103學年,期末考,final,大一/物理(一)/蘇蓉蓉/103學年/final.zip
大一,物理(一),羅志偉,107學年,作業,ch9,大一/物理(一)/羅志偉/107學年/作業解答/ch9.pdf
大一,物理(一),羅志偉,107學年,作業,ch10,大一/物理(一)/羅志偉/107學年/作業解答/ch10.pdf
大一,物理(一),羅志偉,107學年,作業,ch12,大一/物理(一)/羅志偉/107學年/作業解答/ch12.pdf
大一,物理(一),羅志偉,107學年,作業,ch15,大一/物理(一)/羅志偉/107學年/作業解答/ch15.pdf
大一,物理(一),羅志偉,107學年,作業,ch16,大一/物理(一)/羅志偉/107學年/作業解答/ch16.pdf
大一,物理(一),羅志偉,107學年,作業,ch17,大一/物理(一)/羅志偉/107學年/作業解答/ch17.pdf
大一,物理(一),羅志偉,107學年,作業,ch18,大一/物理(一)/羅志偉/107學年/作業解答/ch18.pdf
大一,物理(一),羅志偉,107學年,作業,ch20,大一/物理(一)/羅志偉/107學年/作業解答/ch20.pdf
大一,物理(一),羅志偉,107學年,作業,ch21,大一/物理(一)/羅志偉/107學年/作業解答/ch21.pdf
大一,物理(一),簡文彬,102學年,期中考,midterm1,大一/物理(一)/簡文彬/102學年/midterm1.zip
大一,物理(一),簡文彬,102學年,期中考,midterm2,大一/物理(一)/簡文彬/102學年/midterm2.zip
大一,物理(一),簡文彬,102學年,期末考,final,大一/物理(一)/簡文彬/102學年/final.zip
大一,物理(一),簡文彬,106學年,期末考,final,大一/物理(一)/簡文彬/106學年/2017Summer-Final.pdf
大一,物理(一),簡文彬,109學年,期中考,midterm1,大一/物理(一)/簡文彬/109學年/midterm1.zip
大一,物理(一),簡文彬,109學年,期中考,midterm2,大一/物理(一)/簡文彬/109學年/midterm2.zip
大一,物理(一),簡文彬,nan,講義,lec1,大一/物理(一)/簡文彬/投影片/Lecture01.pdf
大一,物理(一),簡文彬,nan,講義,lec2,大一/物理(一)/簡文彬/投影片/Lecture02.pdf
大一,物理(一),簡文彬,nan,講義,lec3,大一/物理(一)/簡文彬/投影片/Lecture03.pdf
大一,物理(一),簡文彬,nan,講義,lec4,大一/物理(一)/簡文彬/投影片/Lecture04.pdf
